,context1,context2,context3,context4,context5,mutated_letter,pos1,pos2,pos3,size,value1,value2,value3,CDR1_end,CDR2_end,CDR3_end,CDR1_end,CDR2_end,CDR3_end
187,3,4,3,3,3,4,107.0,11.0,342.0,566.0,0.0194346289753,0.0106007067138,0.0106007067138,105.0,177.0,336,105.0,177.0,336
188,3,4,4,3,4,3,239.0,17.0,227.0,9.0,0.444444444444,0.111111111111,0.111111111111,105.0,177.0,336,105.0,177.0,336
203,2,1,3,3,3,4,194.0,67.0,133.0,28.0,0.0357142857143,0.0357142857143,0.0357142857143,99.0,174.0,327,99.0,174.0,327
209,3,1,2,1,2,1,221.0,32.0,64.0,38.0,0.0526315789474,0.0263157894737,0.0263157894737,105.0,177.0,330,105.0,177.0,330
214,3,2,2,1,3,1,327.0,65.0,142.0,126.0,0.047619047619,0.031746031746,0.015873015873,99.0,171.0,321,99.0,171.0,321
215,1,2,4,1,2,3,96.0,25.0,122.0,6.0,0.166666666667,0.166666666667,0.166666666667,99.0,171.0,360,99.0,171.0,360
216,4,2,4,2,2,2,213.0,300.0,141.0,36.0,0.388888888889,0.0555555555556,0.0277777777778,105.0,177.0,345,105.0,177.0,345
218,2,4,3,1,3,1,257.0,66.0,104.0,17.0,0.0588235294118,0.0588235294118,0.0588235294118,99.0,174.0,336,99.0,174.0,336
222,2,2,4,3,1,1,262.0,26.0,44.0,267.0,0.0674157303371,0.0149812734082,0.0149812734082,99.0,180.0,321,99.0,180.0,321
237,2,4,2,4,3,1,323.0,100.0,12.0,14.0,0.0714285714286,0.0714285714286,0.0714285714286,99.0,180.0,324,99.0,180.0,324
238,1,4,4,2,2,3,222.0,195.0,5.0,18.0,0.111111111111,0.0555555555556,0.0555555555556,99.0,174.0,339,99.0,174.0,339
240,1,2,3,3,2,4,272.0,54.0,193.0,24.0,0.125,0.0833333333333,0.0416666666667,99.0,174.0,339,99.0,174.0,339
241,3,1,4,3,3,3,291.0,37.0,264.0,16.0,0.0625,0.0625,0.0625,99.0,171.0,318,99.0,171.0,318
244,4,3,3,1,1,4,164.0,215.0,326.0,86.0,0.093023255814,0.0581395348837,0.0232558139535,105.0,177.0,345,105.0,177.0,345
248,3,3,3,2,4,4,131.0,35.0,56.0,62.0,0.0322580645161,0.0322580645161,0.0322580645161,99.0,168.0,330,99.0,168.0,330
251,2,4,3,2,1,4,64.0,65.0,130.0,28.0,0.0357142857143,0.0357142857143,0.0357142857143,99.0,174.0,330,99.0,174.0,330
253,4,2,3,3,1,4,44.0,164.0,48.0,65.0,0.0923076923077,0.0307692307692,0.0307692307692,105.0,177.0,339,105.0,177.0,339
255,1,1,1,2,2,3,232.0,344.0,66.0,17.0,0.352941176471,0.176470588235,0.0588235294118,105.0,177.0,348,105.0,177.0,348
256,1,1,3,2,2,1,232.0,253.0,133.0,32.0,0.125,0.0625,0.03125,105.0,177.0,348,105.0,177.0,348
258,4,3,3,1,3,1,135.0,342.0,343.0,31.0,0.322580645161,0.193548387097,0.193548387097,99.0,174.0,327,99.0,174.0,327
262,2,2,2,4,3,1,342.0,343.0,34.0,23.0,0.130434782609,0.130434782609,0.0434782608696,99.0,174.0,327,99.0,174.0,327
266,2,1,2,1,3,1,183.0,34.0,40.0,21.0,0.238095238095,0.047619047619,0.047619047619,99.0,174.0,336,99.0,174.0,336
268,3,2,2,4,3,1,261.0,54.0,264.0,46.0,0.0652173913043,0.0434782608696,0.0217391304348,99.0,180.0,333,99.0,180.0,333
270,2,4,4,3,1,3,134.0,142.0,55.0,60.0,0.0333333333333,0.0333333333333,0.0333333333333,99.0,174.0,339,99.0,174.0,339
275,1,1,4,2,1,1,151.0,167.0,80.0,266.0,0.0300751879699,0.0263157894737,0.0187969924812,99.0,171.0,348,99.0,171.0,348
292,3,3,3,4,4,4,141.0,158.0,225.0,35.0,0.0857142857143,0.0571428571429,0.0285714285714,99.0,174.0,336,99.0,174.0,336
293,3,3,2,4,2,4,71.0,136.0,156.0,42.0,0.0952380952381,0.047619047619,0.047619047619,99.0,174.0,333,99.0,174.0,333
304,2,3,2,4,4,4,200.0,108.0,136.0,88.0,0.113636363636,0.0454545454545,0.0340909090909,99.0,174.0,348,99.0,174.0,348
314,1,1,1,3,4,2,56.0,350.0,130.0,112.0,0.0267857142857,0.0267857142857,0.0178571428571,99.0,174.0,351,99.0,174.0,351
326,3,3,2,4,3,1,277.0,99.0,3.0,61.0,0.0491803278689,0.0327868852459,0.016393442623,105.0,177.0,339,105.0,177.0,339
328,3,1,3,4,4,1,97.0,66.0,7.0,16.0,0.125,0.0625,0.0625,105.0,177.0,339,105.0,177.0,339
331,1,3,1,3,2,3,257.0,226.0,228.0,17.0,0.0588235294118,0.0588235294118,0.0588235294118,99.0,171.0,345,99.0,171.0,345
334,4,2,2,2,4,1,236.0,286.0,37.0,15.0,0.2,0.133333333333,0.0666666666667,99.0,171.0,336,99.0,171.0,336
338,2,1,2,1,1,1,172.0,181.0,309.0,37.0,0.189189189189,0.162162162162,0.0810810810811,99.0,174.0,342,99.0,174.0,342
342,3,1,1,3,2,2,37.0,204.0,205.0,18.0,0.0555555555556,0.0555555555556,0.0555555555556,99.0,171.0,321,99.0,171.0,321
343,3,1,2,4,1,1,311.0,235.0,130.0,48.0,0.0833333333333,0.0625,0.0416666666667,99.0,174.0,336,99.0,174.0,336
346,3,1,3,1,4,4,259.0,138.0,66.0,31.0,0.0645161290323,0.0645161290323,0.0645161290323,99.0,174.0,336,99.0,174.0,336
347,1,3,1,2,4,2,56.0,281.0,141.0,9.0,0.111111111111,0.111111111111,0.111111111111,99.0,174.0,348,99.0,174.0,348
348,2,1,3,4,2,4,17.0,220.0,263.0,72.0,0.0555555555556,0.0416666666667,0.0277777777778,99.0,174.0,351,99.0,174.0,351
354,3,1,1,1,2,2,165.0,131.0,68.0,24.0,0.0416666666667,0.0416666666667,0.0416666666667,99.0,171.0,330,99.0,171.0,330
356,4,3,3,1,3,4,243.0,55.0,33.0,34.0,0.0882352941176,0.0588235294118,0.0294117647059,99.0,174.0,327,99.0,174.0,327
357,3,1,1,3,3,3,55.0,292.0,320.0,194.0,0.0309278350515,0.0257731958763,0.020618556701,99.0,174.0,336,99.0,174.0,336
370,4,3,2,3,3,3,12.0,138.0,51.0,51.0,0.078431372549,0.0392156862745,0.0196078431373,102.0,174.0,348,102.0,174.0,348
371,3,4,2,2,2,1,121.0,186.0,306.0,11.0,0.181818181818,0.0909090909091,0.0909090909091,102.0,174.0,348,102.0,174.0,348
372,3,2,2,3,1,1,198.0,311.0,32.0,21.0,0.285714285714,0.0952380952381,0.047619047619,102.0,174.0,345,102.0,174.0,345
374,1,4,2,1,3,1,101.0,211.0,92.0,39.0,0.0769230769231,0.0512820512821,0.0512820512821,99.0,174.0,315,99.0,174.0,315
378,2,2,4,3,2,3,63.0,163.0,68.0,56.0,0.0357142857143,0.0178571428571,0.0178571428571,99.0,171.0,333,99.0,171.0,333
379,1,2,1,4,2,3,13.0,243.0,196.0,144.0,0.166666666667,0.166666666667,0.0416666666667,99.0,171.0,333,99.0,171.0,333
392,2,3,4,2,4,3,72.0,66.0,68.0,7.0,0.142857142857,0.142857142857,0.142857142857,99.0,168.0,333,99.0,168.0,333
393,3,4,3,2,3,4,5.0,307.0,109.0,12.0,0.0833333333333,0.0833333333333,0.0833333333333,99.0,171.0,354,99.0,171.0,354
394,1,4,2,4,3,1,262.0,323.0,305.0,57.0,0.0526315789474,0.0526315789474,0.0350877192982,99.0,174.0,318,99.0,174.0,318
395,4,2,2,1,1,1,221.0,199.0,252.0,20.0,0.1,0.05,0.05,99.0,171.0,342,99.0,171.0,342
396,1,3,2,1,3,1,95.0,288.0,161.0,28.0,0.0714285714286,0.0357142857143,0.0357142857143,105.0,177.0,336,105.0,177.0,336
397,4,2,2,1,3,1,36.0,134.0,9.0,19.0,0.0526315789474,0.0526315789474,0.0526315789474,99.0,171.0,315,99.0,171.0,315
398,1,4,2,1,3,1,86.0,326.0,7.0,36.0,0.138888888889,0.0555555555556,0.0277777777778,105.0,177.0,336,105.0,177.0,336
403,1,4,2,4,3,1,19.0,245.0,180.0,20.0,0.15,0.15,0.1,99.0,174.0,360,99.0,174.0,360
405,1,3,1,3,4,3,200.0,134.0,103.0,9.0,0.222222222222,0.111111111111,0.111111111111,99.0,174.0,360,99.0,174.0,360
408,1,2,3,3,2,4,269.0,273.0,320.0,28.0,0.107142857143,0.107142857143,0.0357142857143,99.0,171.0,336,99.0,171.0,336
409,4,3,2,3,1,4,111.0,154.0,70.0,73.0,0.0684931506849,0.041095890411,0.027397260274,99.0,174.0,348,99.0,174.0,348
412,3,3,3,2,4,4,131.0,290.0,316.0,122.0,0.0491803278689,0.0245901639344,0.0245901639344,99.0,171.0,333,99.0,171.0,333
417,2,1,4,1,1,3,151.0,58.0,61.0,65.0,0.0307692307692,0.0307692307692,0.0307692307692,99.0,174.0,333,99.0,174.0,333
424,3,2,4,2,2,3,119.0,224.0,195.0,26.0,0.115384615385,0.0384615384615,0.0384615384615,99.0,174.0,327,99.0,174.0,327
427,4,2,4,3,3,3,74.0,77.0,288.0,21.0,0.0952380952381,0.0952380952381,0.047619047619,99.0,171.0,345,99.0,171.0,345
429,4,3,1,3,1,3,54.0,60.0,299.0,199.0,0.0201005025126,0.0201005025126,0.0201005025126,99.0,174.0,330,99.0,174.0,330
438,4,3,2,3,2,1,286.0,148.0,23.0,117.0,0.0512820512821,0.034188034188,0.025641025641,99.0,171.0,315,99.0,171.0,315
449,2,2,2,4,3,1,51.0,96.0,98.0,32.0,0.0625,0.03125,0.03125,99.0,174.0,318,99.0,174.0,318
452,3,3,1,2,3,2,45.0,54.0,36.0,27.0,0.0740740740741,0.0740740740741,0.037037037037,99.0,174.0,321,99.0,174.0,321
456,3,2,2,1,3,1,325.0,334.0,335.0,28.0,0.142857142857,0.0714285714286,0.0714285714286,99.0,174.0,319,99.0,174.0,319
457,1,3,2,1,3,1,250.0,135.0,142.0,39.0,0.128205128205,0.0769230769231,0.0769230769231,99.0,173.0,353,99.0,173.0,353
458,2,3,3,4,3,4,337.0,227.0,38.0,32.0,0.09375,0.03125,0.03125,99.0,173.0,353,99.0,173.0,353
460,2,2,3,1,3,1,27.0,33.0,80.0,97.0,0.0721649484536,0.020618556701,0.020618556701,99.0,174.0,315,99.0,174.0,315
464,3,4,3,2,3,1,110.0,192.0,123.0,28.0,0.0714285714286,0.0357142857143,0.0357142857143,99.0,174.0,339,99.0,174.0,339
465,2,4,3,4,3,1,289.0,345.0,72.0,27.0,0.111111111111,0.111111111111,0.0740740740741,105.0,177.0,339,105.0,177.0,339
468,1,2,4,2,4,3,165.0,31.0,55.0,16.0,0.0625,0.0625,0.0625,99.0,174.0,321,99.0,174.0,321
469,4,3,3,3,3,4,22.0,70.0,56.0,26.0,0.0769230769231,0.0769230769231,0.0769230769231,99.0,174.0,330,99.0,174.0,330
474,3,3,4,2,2,3,109.0,119.0,124.0,359.0,0.0194986072423,0.016713091922,0.0139275766017,99.0,174.0,312,99.0,174.0,312
491,3,2,2,1,3,1,333.0,107.0,124.0,24.0,0.166666666667,0.125,0.0833333333333,102.0,174.0,327,102.0,174.0,327
496,1,3,3,2,4,4,254.0,66.0,67.0,17.0,0.117647058824,0.0588235294118,0.0588235294118,99.0,174.0,342,99.0,174.0,342
498,3,3,3,3,2,4,195.0,197.0,136.0,12.0,0.0833333333333,0.0833333333333,0.0833333333333,99.0,174.0,321,99.0,174.0,321
502,3,1,2,4,2,1,57.0,66.0,195.0,15.0,0.133333333333,0.0666666666667,0.0666666666667,99.0,174.0,351,99.0,174.0,351
509,2,2,4,2,1,2,58.0,11.0,300.0,6.0,0.166666666667,0.166666666667,0.166666666667,99.0,171.0,342,99.0,171.0,342
510,2,4,3,1,3,4,101.0,81.0,145.0,9.0,0.222222222222,0.111111111111,0.111111111111,99.0,172.0,316,99.0,172.0,316
512,2,4,3,4,3,1,258.0,268.0,10.0,32.0,0.0625,0.0625,0.03125,105.0,177.0,339,105.0,177.0,339
515,3,4,3,2,3,1,288.0,33.0,322.0,31.0,0.0322580645161,0.0322580645161,0.0322580645161,99.0,174.0,330,99.0,174.0,330
523,2,1,3,2,2,4,253.0,353.0,77.0,38.0,0.157894736842,0.131578947368,0.0526315789474,99.0,174.0,339,99.0,174.0,339
527,2,1,2,3,3,4,355.0,368.0,133.0,65.0,0.123076923077,0.123076923077,0.0461538461538,99.0,174.0,339,99.0,174.0,339
528,1,1,2,1,4,1,259.0,353.0,161.0,20.0,0.1,0.1,0.05,99.0,174.0,339,99.0,174.0,339
529,1,2,2,1,3,1,89.0,65.0,34.0,27.0,0.0740740740741,0.037037037037,0.037037037037,99.0,174.0,333,99.0,174.0,333
531,2,1,3,4,3,4,17.0,196.0,39.0,26.0,0.0769230769231,0.0384615384615,0.0384615384615,99.0,171.0,318,99.0,171.0,318
538,2,4,3,2,1,4,64.0,324.0,139.0,59.0,0.0508474576271,0.0508474576271,0.0338983050847,99.0,174.0,342,99.0,174.0,342
539,3,3,2,2,3,4,335.0,161.0,6.0,42.0,0.0952380952381,0.047619047619,0.0238095238095,99.0,171.0,330,99.0,171.0,330
545,3,2,2,4,3,4,40.0,15.0,118.0,10.0,0.1,0.1,0.1,99.0,171.0,327,99.0,171.0,327
546,3,1,2,1,1,1,126.0,51.0,239.0,45.0,0.0666666666667,0.0444444444444,0.0444444444444,99.0,174.0,324,99.0,174.0,324
557,1,1,1,2,4,3,69.0,68.0,293.0,833.0,0.0132052821128,0.0120048019208,0.0120048019208,99.0,174.0,336,99.0,174.0,336
564,1,2,1,3,2,3,68.0,56.0,66.0,142.0,0.0422535211268,0.0281690140845,0.0281690140845,99.0,174.0,336,99.0,174.0,336
566,4,3,1,3,1,3,54.0,344.0,151.0,71.0,0.0422535211268,0.0422535211268,0.0281690140845,99.0,174.0,333,99.0,174.0,333
573,2,2,4,1,1,3,158.0,65.0,165.0,16.0,0.125,0.0625,0.0625,99.0,174.0,360,99.0,174.0,360
574,2,4,3,4,2,4,53.0,183.0,207.0,66.0,0.030303030303,0.030303030303,0.030303030303,99.0,171.0,318,99.0,171.0,318
581,2,2,3,2,2,4,112.0,105.0,130.0,49.0,0.0612244897959,0.0408163265306,0.0204081632653,99.0,174.0,312,99.0,174.0,312
582,3,3,2,2,1,4,353.0,5.0,112.0,12.0,0.0833333333333,0.0833333333333,0.0833333333333,99.0,174.0,348,99.0,174.0,348
584,3,2,2,1,1,1,224.0,288.0,67.0,8.0,0.125,0.125,0.125,99.0,174.0,339,99.0,174.0,339
585,1,1,4,2,1,3,155.0,57.0,147.0,36.0,0.0833333333333,0.0833333333333,0.0555555555556,99.0,171.0,360,99.0,171.0,360
589,3,1,2,2,1,1,352.0,209.0,232.0,17.0,0.0588235294118,0.0588235294118,0.0588235294118,99.0,174.0,339,99.0,174.0,339
614,2,2,2,4,3,1,342.0,343.0,83.0,252.0,0.0436507936508,0.0436507936508,0.0238095238095,99.0,174.0,327,99.0,174.0,327
617,3,2,2,4,3,1,40.0,73.0,81.0,9.0,0.111111111111,0.111111111111,0.111111111111,99.0,174.0,336,99.0,174.0,336
623,2,2,3,1,4,4,199.0,206.0,233.0,56.0,0.0714285714286,0.0714285714286,0.0535714285714,99.0,174.0,336,99.0,174.0,336
625,3,3,2,1,4,4,329.0,43.0,113.0,37.0,0.432432432432,0.0540540540541,0.0540540540541,105.0,177.0,339,105.0,177.0,339
626,3,1,1,3,4,2,297.0,43.0,113.0,9.0,0.444444444444,0.222222222222,0.111111111111,105.0,177.0,339,105.0,177.0,339
629,3,4,3,3,1,1,162.0,201.0,4.0,35.0,0.0285714285714,0.0285714285714,0.0285714285714,99.0,171.0,351,99.0,171.0,351
630,2,4,1,3,4,2,96.0,256.0,230.0,14.0,0.0714285714286,0.0714285714286,0.0714285714286,105.0,177.0,339,105.0,177.0,339
635,1,3,2,1,3,1,251.0,54.0,55.0,83.0,0.0722891566265,0.0481927710843,0.0361445783133,99.0,174.0,324,99.0,174.0,324
648,4,3,1,3,1,2,54.0,109.0,119.0,118.0,0.0423728813559,0.0338983050847,0.0338983050847,99.0,174.0,336,99.0,174.0,336
649,2,2,3,2,2,4,112.0,234.0,160.0,20.0,0.2,0.1,0.05,99.0,171.0,354,99.0,171.0,354
650,4,3,2,3,1,1,111.0,130.0,35.0,20.0,0.1,0.05,0.05,99.0,174.0,330,99.0,174.0,330
651,3,2,4,4,3,3,133.0,161.0,198.0,16.0,0.0625,0.0625,0.0625,99.0,174.0,345,99.0,174.0,345
652,2,1,1,2,2,2,178.0,66.0,72.0,167.0,0.0239520958084,0.0179640718563,0.0179640718563,99.0,171.0,342,99.0,171.0,342
654,2,4,2,3,1,1,297.0,4.0,294.0,28.0,0.214285714286,0.0357142857143,0.0357142857143,105.0,177.0,321,105.0,177.0,321
657,1,2,2,1,4,1,203.0,156.0,30.0,16.0,0.0625,0.0625,0.0625,99.0,171.0,324,99.0,171.0,324
663,3,3,1,3,2,2,23.0,132.0,134.0,27.0,0.0740740740741,0.037037037037,0.037037037037,99.0,174.0,372,99.0,174.0,372
667,1,3,2,4,3,1,9.0,130.0,138.0,81.0,0.037037037037,0.0246913580247,0.0246913580247,99.0,174.0,321,99.0,174.0,321
670,3,3,2,2,2,1,296.0,137.0,128.0,48.0,0.0833333333333,0.0416666666667,0.0208333333333,99.0,174.0,327,99.0,174.0,327
671,3,3,2,2,3,1,197.0,55.0,208.0,7.0,0.142857142857,0.142857142857,0.142857142857,99.0,174.0,321,99.0,174.0,321
673,2,1,3,2,4,4,8.0,43.0,108.0,12.0,0.0833333333333,0.0833333333333,0.0833333333333,99.0,174.0,324,99.0,174.0,324
676,3,1,4,4,3,3,148.0,21.0,132.0,32.0,0.0625,0.0625,0.03125,105.0,177.0,330,105.0,177.0,330
677,4,2,4,2,4,2,72.0,149.0,27.0,27.0,0.0740740740741,0.037037037037,0.037037037037,105.0,177.0,354,105.0,177.0,354
680,4,4,2,1,2,1,203.0,224.0,256.0,32.0,0.0625,0.03125,0.03125,99.0,174.0,351,99.0,174.0,351
681,4,2,1,2,2,2,60.0,135.0,72.0,29.0,0.0689655172414,0.0344827586207,0.0344827586207,105.0,177.0,330,105.0,177.0,330
687,1,1,3,3,3,4,129.0,144.0,151.0,61.0,0.0327868852459,0.0327868852459,0.0327868852459,99.0,174.0,348,99.0,174.0,348
688,4,4,2,4,3,1,73.0,8.0,66.0,15.0,0.266666666667,0.133333333333,0.0666666666667,99.0,174.0,342,99.0,174.0,342
689,2,1,1,2,2,2,184.0,67.0,232.0,7.0,0.285714285714,0.142857142857,0.142857142857,105.0,177.0,345,105.0,177.0,345
699,4,2,1,4,1,3,305.0,77.0,81.0,101.0,0.029702970297,0.029702970297,0.029702970297,99.0,174.0,348,99.0,174.0,348
700,1,2,2,2,4,1,50.0,62.0,185.0,45.0,0.0888888888889,0.0666666666667,0.0444444444444,105.0,177.0,324,105.0,177.0,324
703,4,3,2,1,3,1,67.0,100.0,69.0,20.0,0.05,0.05,0.05,99.0,174.0,351,99.0,174.0,351
706,1,2,3,1,2,4,267.0,32.0,96.0,22.0,0.0909090909091,0.0454545454545,0.0454545454545,99.0,174.0,345,99.0,174.0,345
707,3,4,2,2,1,1,220.0,264.0,149.0,27.0,0.111111111111,0.0740740740741,0.037037037037,99.0,171.0,324,99.0,171.0,324
708,4,3,3,1,4,1,140.0,154.0,65.0,67.0,0.0298507462687,0.0298507462687,0.0298507462687,99.0,174.0,330,99.0,174.0,330
712,1,3,2,1,2,1,173.0,66.0,58.0,30.0,0.133333333333,0.0666666666667,0.0666666666667,105.0,177.0,345,105.0,177.0,345
713,1,2,4,2,4,3,58.0,100.0,326.0,17.0,0.117647058824,0.0588235294118,0.0588235294118,99.0,174.0,333,99.0,174.0,333
728,4,3,3,3,4,1,91.0,146.0,80.0,142.0,0.0422535211268,0.0422535211268,0.0352112676056,99.0,174.0,339,99.0,174.0,339
730,2,1,2,2,4,1,82.0,129.0,162.0,26.0,0.0769230769231,0.0384615384615,0.0384615384615,99.0,174.0,330,99.0,174.0,330
734,3,4,3,3,3,4,139.0,130.0,292.0,20.0,0.1,0.05,0.05,99.0,174.0,324,99.0,174.0,324
735,3,1,2,4,3,1,30.0,127.0,132.0,50.0,0.04,0.04,0.02,102.0,174.0,321,102.0,174.0,321
740,1,1,3,4,1,4,166.0,203.0,48.0,15.0,0.0666666666667,0.0666666666667,0.0666666666667,99.0,174.0,336,99.0,174.0,336
744,1,3,2,2,2,1,292.0,46.0,155.0,49.0,0.265306122449,0.0408163265306,0.0408163265306,99.0,171.0,372,99.0,171.0,372
753,4,1,2,4,1,1,326.0,205.0,51.0,17.0,0.117647058824,0.117647058824,0.117647058824,99.0,174.0,342,99.0,174.0,342
754,2,2,3,2,2,4,264.0,288.0,66.0,15.0,0.133333333333,0.0666666666667,0.0666666666667,105.0,177.0,348,105.0,177.0,348
